time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
1.000000000e-06,-3.3050000000,-1.9378253925,-1.9376168564,3.4923247691,3.4921755762
1.001000000e-03,-3.3000000000,-1.9341519576,-1.9339430514,3.4857159380,3.4855664824
2.001000000e-03,-3.2950000000,-1.9304816555,-1.9302723705,3.4791088660,3.4789591417
3.001000000e-03,-3.2900000000,-1.9268114403,-1.9266017750,3.4725019483,3.4723519542
4.001000000e-03,-3.2850000000,-1.9231413122,-1.9229312652,3.4658951854,3.4657449206
5.001000000e-03,-3.2800000000,-1.9194712714,-1.9192608414,3.4592885779,3.4591380414
6.001000000e-03,-3.2750000000,-1.9158013185,-1.9155905040,3.4526821264,3.4525313172
7.001000000e-03,-3.2700000000,-1.9121314537,-1.9119202533,3.4460758315,3.4459247486
8.001000000e-03,-3.2650000000,-1.9084616773,-1.9082500896,3.4394696938,3.4393183362
9.001000000e-03,-3.2600000000,-1.9047919896,-1.9045800131,3.4328637139,3.4327120805
1.000100000e-02,-3.2550000000,-1.9011223911,-1.9009100244,3.4262578923,3.4261059821
1.100100000e-02,-3.2500000000,-1.8974528820,-1.8972401236,3.4196522297,3.4195000417
1.200100000e-02,-3.2450000000,-1.8937834627,-1.8935703112,3.4130467267,3.4128942599
1.300100000e-02,-3.2400000000,-1.8901141336,-1.8899005875,3.4064413838,3.4062886372
1.400100000e-02,-3.2350000000,-1.8864448949,-1.8862309527,3.3998362018,3.3996831742
1.500100000e-02,-3.2300000000,-1.8827757471,-1.8825614073,3.3932311812,3.3930778717
1.600100000e-02,-3.2250000000,-1.8791066905,-1.8788919516,3.3866263226,3.3864727301
1.700100000e-02,-3.2200000000,-1.8754377254,-1.8752225859,3.3800216267,3.3798677501
1.800100000e-02,-3.2150000000,-1.8717688521,-1.8715533106,3.3734170940,3.3732629323
1.900100000e-02,-3.2100000000,-1.8681000712,-1.8678841260,3.3668127253,3.3666582773
2.000100000e-02,-3.2050000000,-1.8644313828,-1.8642150325,3.3602085211,3.3600537858
2.100100000e-02,-3.2000000000,-1.8607627874,-1.8605460304,3.3536044821,3.3534494584
2.200100000e-02,-3.1950000000,-1.8570942853,-1.8568771201,3.3470006089,3.3468452958
2.300100000e-02,-3.1900000000,-1.8534258770,-1.8532083019,3.3403969022,3.3402412985
2.400100000e-02,-3.1850000000,-1.8497575626,-1.8495395762,3.3337933626,3.3336374672
2.500100000e-02,-3.1800000000,-1.8460893428,-1.8458709434,3.3271899908,3.3270338026
2.600100000e-02,-3.1750000000,-1.8424212177,-1.8422024038,3.3205867874,3.3204303053
2.700100000e-02,-3.1700000000,-1.8387531878,-1.8385339577,3.3139837531,3.3138269760
2.800100000e-02,-3.1650000000,-1.8350852534,-1.8348656056,3.3073808885,3.3072238152
2.900100000e-02,-3.1600000000,-1.8314174150,-1.8311973479,3.3007781943,3.3006208238
3.000100000e-02,-3.1550000000,-1.8277496729,-1.8275291848,3.2941756713,3.2940180023
3.100100000e-02,-3.1500000000,-1.8240820275,-1.8238611168,3.2875733200,3.2874153514
3.200100000e-02,-3.1450000000,-1.8204144792,-1.8201931442,3.2809711411,3.2808128718
3.300100000e-02,-3.1400000000,-1.8167470283,-1.8165252675,3.2743691354,3.2742105642
