time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
1.000000000e-06,-3.3050000000,-2.4207260094,-2.4204702442,4.2421468019,4.2419607931
1.001000000e-03,-3.3000000000,-2.4160004296,-2.4157440656,4.2338799716,4.2336935290
2.001000000e-03,-3.2950000000,-2.4112751970,-2.4110183483,4.2256101710,4.2254233788
3.001000000e-03,-3.2900000000,-2.4065500674,-2.4062927321,4.2173405482,4.2171534050
4.001000000e-03,-3.2850000000,-2.4018250412,-2.4015672175,4.2090711039,4.2088836084
5.001000000e-03,-3.2800000000,-2.3971001188,-2.3968418048,4.2008018386,4.2006139895
6.001000000e-03,-3.2750000000,-2.3923753006,-2.3921164944,4.1925327533,4.1923445492
7.001000000e-03,-3.2700000000,-2.3876505870,-2.3873912868,4.1842638485,4.1840752881
8.001000000e-03,-3.2650000000,-2.3829259784,-2.3826661822,4.1759951249,4.1758062068
9.001000000e-03,-3.2600000000,-2.3782014753,-2.3779411812,4.1677265833,4.1675373062
1.000100000e-02,-3.2550000000,-2.3734770780,-2.3732162841,4.1594582244,4.1592685868
1.100100000e-02,-3.2500000000,-2.3687527870,-2.3684914914,4.1511900489,4.1510000494
1.200100000e-02,-3.2450000000,-2.3640286027,-2.3637668034,4.1429220575,4.1427316948
1.300100000e-02,-3.2400000000,-2.3593045255,-2.3590422205,4.1346542510,4.1344635236
1.400100000e-02,-3.2350000000,-2.3545805559,-2.3543177432,4.1263866300,4.1261955366
1.500100000e-02,-3.2300000000,-2.3498566942,-2.3495933720,4.1181191953,4.1179277344
1.600100000e-02,-3.2250000000,-2.3451329409,-2.3448691071,4.1098519477,4.1096601179
1.700100000e-02,-3.2200000000,-2.3404092965,-2.3401449490,4.1015848879,4.1013926877
1.800100000e-02,-3.2150000000,-2.3356857614,-2.3354208982,4.0933180166,4.0931254446
1.900100000e-02,-3.2100000000,-2.3309623359,-2.3306969551,4.0850513346,4.0848583894
2.000100000e-02,-3.2050000000,-2.3262390207,-2.3259731201,4.0767848426,4.0765915227
2.100100000e-02,-3.2000000000,-2.3215158160,-2.3212493937,4.0685185415,4.0683248454
2.200100000e-02,-3.1950000000,-2.3167927223,-2.3165257762,4.0602524320,4.0600583582
2.300100000e-02,-3.1900000000,-2.3120697402,-2.3118022681,4.0519865147,4.0517920618
2.400100000e-02,-3.1850000000,-2.3073468700,-2.3070788699,4.0437207906,4.0435259570
2.500100000e-02,-3.1800000000,-2.3026241122,-2.3023555820,4.0354552605,4.0352600447
2.600100000e-02,-3.1750000000,-2.2979014673,-2.2976324048,4.0271899249,4.0269943255
2.700100000e-02,-3.1700000000,-2.2931789357,-2.2929093388,4.0189247849,4.0187288002
2.800100000e-02,-3.1650000000,-2.2884565179,-2.2881863845,4.0106598412,4.0104634697
2.900100000e-02,-3.1600000000,-2.2837342143,-2.2834635423,4.0023950945,4.0021983347
3.000100000e-02,-3.1550000000,-2.2790120255,-2.2787408126,3.9941305456,3.9939333961
3.100100000e-02,-3.1500000000,-2.2742899519,-2.2740181959,3.9858661955,3.9856686545
3.200100000e-02,-3.1450000000,-2.2695679939,-2.2692956927,3.9776020449,3.9774041109
3.300100000e-02,-3.1400000000,-2.2648461521,-2.2645733035,3.9693380945,3.9691397660
3.400100000e-02,-3.1350000000,-2.2601244269,-2.2598510286,3.9610743453,3.9608756206
3.500100000e-02,-3.1300000000,-2.2554028188,-2.2551288686,3.9528107981,3.9526116756
3.600100000e-02,-3.1250000000,-2.2506813283,-2.2504068240,3.9445474537,3.9443479318
3.700100000e-02,-3.1200000000,-2.2459599559,-2.2456848952,3.9362843129,3.9360843900
3.800100000e-02,-3.1150000000,-2.2412387021,-2.2409630827,3.9280213765,3.9278210511
3.900100000e-02,-3.1100000000,-2.2365175673,-2.2362413869,3.9197586456,3.9195579158
4.000100000e-02,-3.1050000000,-2.2317965521,-2.2315198085,3.9114961208,3.9112949851
4.100100000e-02,-3.1000000000,-2.2270756571,-2.2267983478,3.9032338030,3.9030322598
4.200100000e-02,-3.0950000000,-2.2223548826,-2.2220770054,3.8949716932,3.8947697407
4.300100000e-02,-3.0900000000,-2.2176342292,-2.2173557817,3.8867097921,3.8865074287
4.400100000e-02,-3.0850000000,-2.2129136973,-2.2126346772,3.8784481007,3.8782453247
4.500100000e-02,-3.0800000000,-2.2081932877,-2.2079136925,3.8701866198,3.8699834295
4.600100000e-02,-3.0750000000,-2.2034730006,-2.2031928280,3.8619253504,3.8617217440
4.700100000e-02,-3.0700000000,-2.1987528367,-2.1984720843,3.8536642933,3.8534602692
4.800100000e-02,-3.0650000000,-2.1940327965,-2.1937514619,3.8454034494,3.8451990058
4.900100000e-02,-3.0600000000,-2.1893128806,-2.1890309612,3.8371428196,3.8369379547
5.000100000e-02,-3.0550000000,-2.1845930893,-2.1843105828,3.8288824049,3.8286771170
