ctime,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
1.000000000e-06,-3.3050000000,-3.2917862920,-3.2914750909,5.4954879712,5.4952564552
1.001000000e-03,-3.3000000000,-3.2851583262,-3.2848465278,5.4844439922,5.4842120301
2.001000000e-03,-3.2950000000,-3.2785335645,-3.2782211525,5.4734019548,5.4731695398
3.001000000e-03,-3.2900000000,-3.2719089327,-3.2715959046,5.4623601307,5.4621272611
4.001000000e-03,-3.2850000000,-3.2652844313,-3.2649707847,5.4513185210,5.4510851949
5.001000000e-03,-3.2800000000,-3.2586600608,-3.2583457932,5.4402771263,5.4400433420
6.001000000e-03,-3.2750000000,-3.2520358217,-3.2517209307,5.4292359476,5.4290017032
7.001000000e-03,-3.2700000000,-3.2454117146,-3.2450961977,5.4181949857,5.4179602795
8.001000000e-03,-3.2650000000,-3.2387877401,-3.2384715947,5.4071542416,5.4069190716
9.001000000e-03,-3.2600000000,-3.2321638986,-3.2318471223,5.3961137161,5.3958780805
1.000100000e-02,-3.2550000000,-3.2255401907,-3.2252227809,5.3850734100,5.3848373070
1.100100000e-02,-3.2500000000,-3.2189166169,-3.2185985711,5.3740333244,5.3737967521
1.200100000e-02,-3.2450000000,-3.2122931779,-3.2119744935,5.3629934600,5.3627564165
1.300100000e-02,-3.2400000000,-3.2056698741,-3.2053505485,5.3519538178,5.3517163012
1.400100000e-02,-3.2350000000,-3.1990467062,-3.1987267367,5.3409143987,5.3406764071
1.500100000e-02,-3.2300000000,-3.1924236746,-3.1921030587,5.3298752035,5.3296367351
1.600100000e-02,-3.2250000000,-3.1858007799,-3.1854795150,5.3188362334,5.3185972861
1.700100000e-02,-3.2200000000,-3.1791780227,-3.1788561062,5.3077974890,5.3075580610
1.800100000e-02,-3.2150000000,-3.1725554036,-3.1722328327,5.2967589714,5.2965190607
1.900100000e-02,-3.2100000000,-3.1659329232,-3.1656096953,5.2857206816,5.2854802861
2.000100000e-02,-3.2050000000,-3.1593105820,-3.1589866943,5.2746826204,5.2744417382
2.100100000e-02,-3.2000000000,-3.1526883806,-3.1523638305,5.2636447888,5.2634034180
2.200100000e-02,-3.1950000000,-3.1460663196,-3.1457411043,5.2526071877,5.2523653263
2.300100000e-02,-3.1900000000,-3.1394443995,-3.1391185163,5.2415698182,5.2413274641
2.400100000e-02,-3.1850000000,-3.1328226210,-3.1324960672,5.2305326812,5.2302898324
2.500100000e-02,-3.1800000000,-3.1262009847,-3.1258737574,5.2194957776,5.2192524320
2.600100000e-02,-3.1750000000,-3.1195794912,-3.1192515876,5.2084591084,5.2082152641
2.700100000e-02,-3.1700000000,-3.1129581410,-3.1126295584,5.1974226747,5.1971783295
2.800100000e-02,-3.1650000000,-3.1063369349,-3.1060076703,5.1863864773,5.1861416292
2.900100000e-02,-3.1600000000,-3.0997158733,-3.0993859240,5.1753505174,5.1751051643
3.000100000e-02,-3.1550000000,-3.0930949569,-3.0927643200,5.1643147959,5.1640689356
3.100100000e-02,-3.1500000000,-3.0864741863,-3.0861428589,5.1532793137,5.1530329443
3.200100000e-02,-3.1450000000,-3.0798535622,-3.0795215414,5.1422440721,5.1419971912
3.300100000e-02,-3.1400000000,-3.0732330852,-3.0729003680,5.1312090718,5.1309616775
3.400100000e-02,-3.1350000000,-3.0666127558,-3.0662793393,5.1201743141,5.1199264041
3.500100000e-02,-3.1300000000,-3.0599925748,-3.0596584561,5.1091397998,5.1088913720
3.600100000e-02,-3.1250000000,-3.0533725428,-3.0530377189,5.0981055301,5.0978565823
3.700100000e-02,-3.1200000000,-3.0467526604,-3.0464171283,5.0870715060,5.0868220360
3.800100000e-02,-3.1150000000,-3.0401329283,-3.0397966849,5.0760377286,5.0757877342
3.900100000e-02,-3.1100000000,-3.0335133471,-3.0331763894,5.0650041989,5.0647536778
4.000100000e-02,-3.1050000000,-3.0268939174,-3.0265562425,5.0539709180,5.0537198680
4.100100000e-02,-3.1000000000,-3.0202746400,-3.0199362447,5.0429378869,5.0426863058
4.200100000e-02,-3.0950000000,-3.0136555156,-3.0133163967,5.0319051068,5.0316529923
4.300100000e-02,-3.0900000000,-3.0070365446,-3.0066966991,5.0208725787,5.0206199286
4.400100000e-02,-3.0850000000,-3.0004177280,-3.0000771527,5.0098403038,5.0095871157
