time,pulldown_on,pulldown_off,pullup_on,pullup_off
0.,3.30000000,2.12301430,0.,1.11819568
2.50000000e-11,3.29993429,2.12311389,-2.2513749e-05,1.11822316
5.00000000e-11,3.30005014,2.12320846,-1.9009852e-04,1.11836017
7.50000000e-11,3.30011318,2.12351459,-2.4247686e-04,1.11834995
1.00000000e-10,3.30014254,2.12394532,-2.3484504e-04,1.11825291
1.25000000e-10,3.30015299,2.12442593,-2.0559799e-04,1.11811012
1.50000000e-10,3.30015292,2.12490561,-1.6355208e-04,1.11794523
1.75000000e-10,3.30014710,2.12533537,-1.1386633e-04,1.11777203
2.00000000e-10,3.30013832,2.12567517,-5.6374671e-05,1.11759869
2.25000000e-10,3.30012779,2.12588547,4.3281708e-06,1.11742982
2.50000000e-10,3.30011459,2.12593066,6.8692053e-05,1.11726778
2.75000000e-10,3.30010049,2.12578240,1.4510717e-04,1.11711761
3.00000000e-10,3.30008076,2.12539990,2.3717346e-04,1.11697836
3.25000000e-10,3.30005115,2.12472839,3.5988248e-04,1.11685561
3.50000000e-10,3.30001087,2.12365452,5.2801700e-04,1.11676125
3.75000000e-10,3.29996041,2.12206120,6.8506844e-04,1.11670871
4.00000000e-10,3.29990070,2.11993478,8.2524836e-04,1.11671112
4.25000000e-10,3.29983270,2.11729675,9.4577957e-04,1.11678062
4.50000000e-10,3.29975743,2.11419309,1.0477238e-03,1.11692833
4.75000000e-10,3.29967579,2.11068286,1.1330152e-03,1.11716410
5.00000000e-10,3.29958829,2.10683073,1.2039355e-03,1.11749638
5.25000000e-10,3.29949517,2.10270238,1.2633952e-03,1.11793264
5.50000000e-10,3.29939563,2.09836353,1.3155763e-03,1.11847941
5.75000000e-10,3.29928631,2.09387403,1.3638570e-03,1.11914808
6.00000000e-10,3.29916804,2.08930294,1.3861855e-03,1.11994189
6.25000000e-10,3.29903912,2.08473104,1.3645557e-03,1.12087404
6.50000000e-10,3.29889118,2.08025739,1.2759757e-03,1.12195268
6.75000000e-10,3.29873052,2.07610953,1.0506529e-03,1.12320665
7.00000000e-10,3.29857878,2.07269878,6.7915905e-04,1.12466138
7.25000000e-10,3.29844347,2.07051657,1.6991272e-04,1.12631205
7.50000000e-10,3.29835078,2.07008079,-4.6394189e-04,1.12815742
7.75000000e-10,3.29829759,2.07190631,-1.2089586e-03,1.13013920
8.00000000e-10,3.29826423,2.07648992,-2.0532280e-03,1.13221085
8.25000000e-10,3.29830277,2.08430581,-2.9871892e-03,1.13437439
8.50000000e-10,3.29844478,2.09580908,-4.0029909e-03,1.13656121
8.75000000e-10,3.29870912,2.11144510,-5.0946965e-03,1.13865947
9.00000000e-10,3.29910745,2.13166892,-6.2605075e-03,1.14053002
9.25000000e-10,3.29964672,2.15699043,-7.5033720e-03,1.14201527
9.50000000e-10,3.30033265,2.18808692,-8.8142300e-03,1.14294638
9.75000000e-10,3.30116803,2.22554039,-1.0210254e-02,1.14314247
1.00000000e-09,3.30214863,2.26896633,-1.1714872e-02,1.14241315
1.02500000e-09,3.30327020,2.31807973,-1.3367718e-02,1.14056985
1.05000000e-09,3.30453009,2.37282940,-1.5218873e-02,1.13742643
1.07500000e-09,3.30592820,2.43300250,-1.7187770e-02,1.13279756
1.10000000e-09,3.30747056,2.49803093,-1.9238017e-02,1.12649706
1.12500000e-09,3.30916977,2.56714966,-2.1401569e-02,1.11832760
1.15000000e-09,3.31104087,2.63941676,-2.3711889e-02,1.10807087
1.17500000e-09,3.31311712,2.71368133,-2.6219476e-02,1.09548907
1.20000000e-09,3.31538860,2.78856645,-2.8990958e-02,1.08024229
1.22500000e-09,3.31769270,2.86240955,-3.2101489e-02,1.06193254
1.25000000e-09,3.31997603,2.93318070,-3.5647241e-02,1.04034972
1.27500000e-09,3.32222395,2.99834364,-3.9394210e-02,1.01528398
1.30000000e-09,3.32440242,3.05525404,-4.3485319e-02,0.98683084
1.32500000e-09,3.32648616,3.10159873,-4.8387535e-02,0.95581718
