time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
1.000000000e-06,-3.3050000000,-0.0003112011,-3.2914750909,0.000231516,5.4952564552
3.900100000e-02,-3.1100000000,-0.0003369577,-3.0331763894,0.0002505211,5.0647536778
7.700100000e-02,-2.9200000000,-0.0003665596,-2.7817214309,0.0002723341,4.6456525270
0.1120010000,-2.7450000000,-0.0003988583,-2.5503429094,0.0002961061,4.2600112379
0.1450010000,-2.5800000000,-0.0004350246,-2.3324204481,0.0003226911,3.8967954731
0.1760010000,-2.4250000000,-0.0004755572,-2.1279523525,0.0003524441,3.5560022501
0.2060010000,-2.2750000000,-0.000522714,-1.9303531640,0.0003870059,3.2266550809
0.2330010000,-2.1400000000,-0.0005739573,-1.7527905948,0.0004244988,2.9307009740
0.2590010000,-2.0100000000,-0.0006338049,-1.5821047836,0.0004682048,2.6462053800
0.2710010000,-1.9500000000,-0.0006658516,-1.5034436736,0.0004915723,2.5150932350
0.2830010000,-1.8900000000,-0.000701311,-1.4248670708,0.0005173997,2.3841208464
0.2950010000,-1.8300000000,-0.000740756,-1.3463842496,0.0005460952,2.2533034901
0.3060010000,-1.7750000000,-0.0007810171,-1.2745333030,0.000575347,2.1335390063
0.3170010000,-1.7200000000,-0.0008258954,-1.2027801061,0.0006079095,2.0139359711
0.3270010000,-1.6700000000,-0.000871401,-1.1376444398,0.0006408805,1.9053619661
0.3370010000,-1.6200000000,-0.0009221918,-1.0726093015,0.0006776261,1.7969538328
0.3460010000,-1.5750000000,-0.0009732193,-1.0141735278,0.0007144856,1.6995445824
0.3550010000,-1.5300000000,-0.0010301885,-0.9558392215,0.00075557,1.6023025680
0.3640010000,-1.4850000000,-0.0010941909,-0.8976185419,0.0008016434,1.5052477148
0.3730010000,-1.4400000000,-0.0011666007,-0.8395259418,0.0008536642,1.4084036841
0.3810010000,-1.4000000000,-0.0012394289,-0.7880095502,0.0009058754,1.3225199049
0.3890010000,-1.3600000000,-0.0013218446,-0.7366226400,0.000964829,1.2368489285
0.3960010000,-1.3250000000,-0.0014033809,-0.6917790207,0.0010230189,1.1620837630
0.4030010000,-1.2900000000,-0.0014954795,-0.6470619974,0.0010885881,1.0875263055
0.4100010000,-1.2550000000,-0.0016002982,-0.6024884139,0.0011630127,1.0132039702
0.4160010000,-1.2250000000,-0.0017023518,-0.5644119768,0.0012352724,0.9497111581
0.4220010000,-1.1950000000,-0.0018180155,-0.5264712583,0.0013169334,0.8864403535
0.4280010000,-1.1650000000,-0.001950142,-0.4886848023,0.0014099179,0.8234216039
0.4330010000,-1.1400000000,-0.002075454,-0.4573300279,0.001497818,0.7711245662
0.4380010000,-1.1150000000,-0.0022174751,-0.4261136296,0.001597107,0.7190530738
0.4430010000,-1.0900000000,-0.002379681,-0.3950544357,0.0017100873,0.6672374774
0.4480010000,-1.0650000000,-0.0025665536,-0.3641752619,0.0018397091,0.6157144841
0.4530010000,-1.0400000000,-0.0027839592,-0.3335040865,0.0019898066,0.5645290084
0.4580010000,-1.0150000000,-0.0030397072,-0.3030756757,0.0021654451,0.5137367264
0.4620010000,-0.9950000000,-0.0032789067,-0.2789368216,0.0023288463,0.4734324574
0.4660010000,-0.9750000000,-0.0035565639,-0.2550091254,0.0025175099,0.4334688171
0.4700010000,-0.9550000000,-0.0038821677,-0.2313271010,0.0027374423,0.3939006333
0.4740010000,-0.9350000000,-0.0042683831,-0.2079339159,0.002996595,0.3547962788
0.4770010000,-0.9200000000,-0.0046079289,-0.1906109825,0.0032229947,0.3258235745
