time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
1.000000000e-06,-3.3050000000,-0.0002085361,-1.9376168564,0.0001491929,3.4921755762
4.100100000e-02,-3.1000000000,-0.0002252286,-1.7871857487,0.0001610292,3.2213983762
8.000100000e-02,-2.9050000000,-0.0002438363,-1.6442506493,0.0001742099,2.9641095395
0.1170010000,-2.7200000000,-0.0002646125,-1.5088100436,0.0001889108,2.7203101298
0.1520010000,-2.5450000000,-0.0002878524,-1.3808649323,0.0002053352,2.4900018586
0.1850010000,-2.3800000000,-0.0003138866,-1.2604155487,0.0002237107,2.2731850448
0.2160010000,-2.2250000000,-0.0003430796,-1.1474610311,0.0002442868,2.0698580265
0.2450010000,-2.0800000000,-0.0003758237,-1.0419989887,0.0002673305,1.8800163804
0.2720010000,-1.9450000000,-0.0004125263,-0.9440249315,0.000293117,1.7036519008
0.2850010000,-1.8800000000,-0.0004328986,-0.8969388258,0.0003074109,1.6188907066
0.2970010000,-1.8200000000,-0.000453585,-0.8535315364,0.0003219117,1.5407512857
0.3090010000,-1.7600000000,-0.0004763575,-0.8101843897,0.000337859,1.4627194865
0.3210010000,-1.7000000000,-0.0005015467,-0.7669037113,0.0003554799,1.3848065943
0.3320010000,-1.6450000000,-0.0005271037,-0.7272944164,0.0003733381,1.3135020810
0.3430010000,-1.5900000000,-0.0005554105,-0.6877537592,0.0003930948,1.2423202786
0.3540010000,-1.5350000000,-0.0005869332,-0.6482894509,0.000415068,1.1712749261
0.3640010000,-1.4850000000,-0.0006188633,-0.6124866608,0.0004372957,1.1068201838
0.3740010000,-1.4350000000,-0.0006544619,-0.5767624574,0.0004620427,1.0425057827
0.3830010000,-1.3900000000,-0.0006901828,-0.5446856312,0.0004868388,0.9847566257
0.3920010000,-1.3450000000,-0.0007300103,-0.5126881776,0.0005144442,0.9271490927
0.4010010000,-1.3000000000,-0.0007746866,-0.4807796282,0.0005453592,0.8697001163
0.4100010000,-1.2550000000,-0.000825142,-0.4489713055,0.0005802097,0.8124297962
0.4180010000,-1.2150000000,-0.0008757898,-0.4207923025,0.0006151266,0.7616921993
0.4260010000,-1.1750000000,-0.0009329815,-0.3927146154,0.0006544767,0.7111349909
0.4330010000,-1.1400000000,-0.0009894289,-0.3682404554,0.0006932353,0.6670643660
0.4400010000,-1.1050000000,-0.0010530227,-0.3438652854,0.0007368085,0.6231697647
0.4470010000,-1.0700000000,-0.0011251777,-0.3196022038,0.0007861324,0.5794743389
0.4530010000,-1.0400000000,-0.0011951938,-0.2989063762,0.0008338801,0.5422006336
0.4590010000,-1.0100000000,-0.0012742564,-0.2783163870,0.0008876657,0.5051147138
0.4650010000,-0.9800000000,-0.0013641795,-0.2578465191,0.0009486757,0.4682417459
0.4700010000,-0.9550000000,-0.0014490641,-0.2408924014,0.001006112,0.4376986743
0.4760010000,-0.9250000000,-0.0015653984,-0.2206903287,0.0010845931,0.4012998090
0.4810010000,-0.9000000000,-0.00167695,-0.2039913999,0.001159602,0.3712080809
0.4860010000,-0.8750000000,-0.0018047466,-0.1874351001,0.0012452526,0.3413682212
0.4900010000,-0.8550000000,-0.0019210712,-0.1743072088,0.001322965,0.3177029867
0.4950010000,-0.8300000000,-0.002087912,-0.1580657886,0.0014340335,0.2884182343
0.4990010000,-0.8100000000,-0.0022421587,-0.1452273089,0.0015363319,0.2652626052
0.5030010000,-0.7900000000,-0.0024189653,-0.1325478149,0.0016531695,0.2423864055
0.5070010000,-0.7700000000,-0.0026231687,-0.1200516851,0.0017875957,0.2198320632
0.5110010000,-0.7500000000,-0.0028609125,-0.1077687994,0.001943476,0.1976515026
0.5140010000,-0.7350000000,-0.00306586586,-9.871849564e-02,0.0020773801,0.1812994148
0.5170010000,-0.7200000000,-0.0032981167,-8.982762905e-02,0.0022286587,0.1652260625
0.5200010000,-0.7050000000,-0.00356252478,-8.111861029e-02,0.0024003859,0.1494702524
0.5230010000,-0.6900000000,-0.00386483696,-7.261815820e-02,0.0025962269,0.1340782200
0.5250010000,-0.6800000000,-0.00409069447,-6.708259298e-02,0.0027422887,0.1240458335
0.5260010000,-0.6750000000,-0.00421172473,-6.435822580e-02,0.0028204994,0.1191052413
0.5280010000,-0.6650000000,-0.00447142071,-5.900382284e-02,0.0029882409,0.1093882404
0.5290010000,-0.6600000000,-0.00461067534,-5.637706606e-02,0.0030781758,0.1046175099
0.5310010000,-0.6500000000,-0.00490947019,-5.123339205e-02,0.00327121808,9.526710284e-02
0.5330010000,-0.6400000000,-0.00523718082,-4.624935094e-02,0.00348322702,8.619431824e-02
0.5340010000,-0.6350000000,-0.00541250703,-4.382255437e-02,0.00359685419,8.177136178e-02
0.5360010000,-0.6250000000,-0.00578704601,-3.911112679e-02,0.00384026823,7.317276951e-02
0.5380010000,-0.6150000000,-0.00619399996,-3.460616318e-02,0.00410616044,6.493357955e-02
0.5390010000,-0.6100000000,-0.00640952017,-3.243782220e-02,0.00424773649,6.096059411e-02
0.5400010000,-0.6050000000,-0.00663277996,-3.032932462e-02,0.00439506012,5.709199693e-02
0.5410010000,-0.6000000000,-0.00686338045,-2.828355523e-02,0.00454803181,5.333293884e-02
0.5420010000,-0.5950000000,-0.00710074978,-2.630342594e-02,0.0047064565,4.968865513e-02
0.5430010000,-0.5900000000,-0.00734412162,-2.439184198e-02,0.00487002632,4.616441317e-02
0.5440010000,-0.5850000000,-0.00759251653,-2.255166076e-02,0.00503830318,4.276544718e-02
0.5450010000,-0.5800000000,-0.00784472863,-2.078564301e-02,0.00521070227,3.949687931e-02
0.5460010000,-0.5750000000,-0.00809931993,-1.909639630e-02,0.00538647793,3.636362661e-02
0.5470010000,-0.5700000000,-0.00835462472,-1.748631167e-02,0.00556471358,3.337029447e-02
0.5480010000,-0.5650000000,-0.00860876654,-1.595749471e-02,0.00574431773,3.052105800e-02
0.5490010000,-0.5600000000,-0.00885968915,-1.451169333e-02,0.005924041,2.781952150e-02
0.5500010000,-0.5550000000,-0.00910520227,-1.315022526e-02,0.00610252744,2.526854906e-02
0.5510010000,-0.5500000000,-0.00934304124,-1.187390922e-02,0.00627825685,2.287021698e-02
0.5520010000,-0.5450000000,-0.0095709381,-1.068300426e-02,0.00644960644,2.062566764e-02
0.5530010000,-0.5400000000,-0.009786699986,-9.577161994e-03,0.00661490881,1.853499543e-02
0.5540010000,-0.5350000000,-0.009988289398,-8.555396322e-03,0.00677250832,1.659716933e-02
0.5550010000,-0.5300000000,-0.010173899883,-7.616074417e-03,0.00692082235,1.480998989e-02
0.5560010000,-0.5250000000,-0.010342021023,-6.756931327e-03,0.00705840296,1.317008663e-02
0.5570010000,-0.5200000000,-0.010491487189,-5.975108801e-03,0.00718399375,1.167295930e-02
0.5580010000,-0.5150000000,-0.010621506581,-5.267216869e-03,0.00729657671,1.031306293e-02
0.5590010000,-0.5100000000,-0.010731668713,-4.629414727e-03,0.00739540536,9.083932500e-03
0.5600010000,-0.5050000000,-0.010821931461,-4.057505859e-03,0.007480021278,7.978340212e-03
0.5620010000,-0.4950000000,-0.010944233178,-3.093424832e-03,0.007606203819,6.106132951e-03
0.5640010000,-0.4850000000,-0.010993968067,-2.338210403e-03,0.007676835554,4.630367436e-03
0.5680010000,-0.4650000000,-0.010913239227,-1.310439143e-03,0.007673115211,2.605843079e-03
0.5790010000,-0.4100000000,-0.009994130723,-2.476890670e-04,0.007065692808,4.948052400e-04
0.5900010000,-0.3550000000,-0.00872398305822,-4.516207878e-05,0.00615404977332,9.029680868e-05
0.6610010000,0.,-5.915157749E-09,-4.686692101e-09,4.115952401E-09,0
0.6780010000,8.500000000e-02,0.00200086028055,-4.486551519e-09,-0.00139247950602,0
0.6960010000,0.1750000000,0.00397870888453,-4.287527901e-09,-0.00279765313237,0
0.7140010000,0.2650000000,0.00581491198048,-4.088482536e-09,-0.00413227697765,0
0.7320010000,0.3550000000,0.00751258134543,-3.889428110e-09,-0.00539700900487,0
0.7500010000,0.4450000000,0.00907478178737,-3.690365615e-09,-0.00659250199806,0
0.7680010000,0.5350000000,0.0105045291513,-3.491295553e-09,-0.00771940352121,0
0.7860010000,0.6250000000,0.0118047886122,-3.292216621e-09,-0.00877835587935,0
0.8040010000,0.7150000000,0.0129784731231,-3.093117443e-09,-0.00976999608248,0
0.8220010000,0.8050000000,0.014028442204,-2.894030501e-09,-0.0106949558136,0
0.8410010000,0.9000000000,0.0150056255039,-2.683869022e-09,-0.0115996541136,0
0.8600010000,0.9950000000,0.0158513220737,-2.473698087e-09,-0.0124314851036,0
0.8790010000,1.0900000000,0.0165686942835,-2.263517392e-09,-0.0131911721936,0
0.8980010000,1.1850000000,0.0171608341933,-2.053320911e-09,-0.0138794320136,0
0.9170010000,1.2800000000,0.0176307632231,-1.843084316e-09,-0.0144969744436,0
0.9360010000,1.3750000000,0.0179814318924,-1.632381998e-09,-0.0150445025636,0
0.9560010000,1.4750000000,0.0182248804217,-1.411672502e-09,-0.0155459745125,0
0.9960010000,1.6750000000,0.0183677406192,-9.692427843e-10,-0.0163217052202,0
1.0480010000,1.9350000000,0.0184353853839,-3.939384537e-10,-0.0168860385153,0
1.9830010000,6.6100000000,0.0196627161,0,-0.0214803305,0
