time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
1.000000000e-06,-3.3050000000,-0.0002557652,-2.4204702442,0.0001860088,4.2419607931
4.000100000e-02,-3.1050000000,-0.0002767436,-2.2315198085,0.0002011357,3.9112949851
7.800100000e-02,-2.9150000000,-0.0003000098,-2.0521918426,0.0002178924,3.5974640883
0.1130010000,-2.7400000000,-0.0003252226,-1.8871984772,0.0002360311,3.3087181613
0.1470010000,-2.5700000000,-0.000354169,-1.7271114764,0.0002568304,3.0285572581
0.1790010000,-2.4100000000,-0.0003865871,-1.5766468976,0.0002800932,2.7652345581
0.2090010000,-2.2600000000,-0.0004229131,-1.4358026046,0.0003061222,2.5187461945
0.2370010000,-2.1200000000,-0.0004636059,-1.3045744602,0.0003352335,2.2890847921
0.2640010000,-1.9850000000,-0.0005110565,-1.1782831427,0.000369119,2.0680608273
0.2770010000,-1.9200000000,-0.0005375583,-1.1175792386,0.0003880168,1.9618210912
0.2890010000,-1.8600000000,-0.0005645894,-1.0616127835,0.0004072719,1.8638717361
0.3010010000,-1.8000000000,-0.0005944871,-1.0057185167,0.0004285457,1.7660478600
0.3120010000,-1.7450000000,-0.0006248189,-0.9545522725,0.0004501039,1.6764978985
0.3230010000,-1.6900000000,-0.000658412,-0.9034604476,0.0004739513,1.5870772047
0.3330010000,-1.6400000000,-0.0006922435,-0.8570848599,0.0004979382,1.5059098609
0.3430010000,-1.5900000000,-0.0007297332,-0.8107848619,0.0005244841,1.4248737178
0.3530010000,-1.5400000000,-0.0007715032,-0.7645689129,0.0005540189,1.3439833964
0.3630010000,-1.4900000000,-0.0008183245,-0.7184469561,0.0005870732,1.2632560722
0.3720010000,-1.4450000000,-0.0008655756,-0.6770272592,0.0006203763,1.1907575874
0.3810010000,-1.4000000000,-0.0009185787,-0.6357034082,0.0006576689,1.1184251421
0.3890010000,-1.3600000000,-0.0009714084,-0.5990612842,0.000694773,1.0542857863
0.3970010000,-1.3200000000,-0.0010306225,-0.5625144734,0.0007362832,0.9903113582
0.4050010000,-1.2800000000,-0.001097435,-0.5260748957,0.0007830234,0.9265223656
0.4130010000,-1.2400000000,-0.001173384,-0.4897568082,0.000836033,0.8629433148
0.4200010000,-1.2050000000,-0.0012488734,-0.4580916037,0.0008885956,0.8075069788
0.4270010000,-1.1700000000,-0.0013345546,-0.4265464806,0.0009481056,0.7522778251
0.4330010000,-1.1400000000,-0.0014177322,-0.3996160078,0.0010057285,0.7051250868
0.4390010000,-1.1100000000,-0.0015117088,-0.3727987074,0.0010706609,0.6581672800
0.4450010000,-1.0800000000,-0.001618674,-0.3461097436,0.0011443518,0.6114303196
0.4510010000,-1.0500000000,-0.0017414358,-0.3195674441,0.0012286496,0.5649454845
0.4560010000,-1.0250000000,-0.0018584068,-0.2975769140,0.0013087055,0.5264280140
0.4610010000,-1.0000000000,-0.0019915825,-0.2757194361,0.0013995462,0.4881387607
0.4660010000,-0.9750000000,-0.0021444355,-0.2540139990,0.0015034219,0.4501099829
0.4710010000,-0.9500000000,-0.0023214612,-0.2324837734,0.0016232285,0.4123809762
0.4750010000,-0.9300000000,-0.0024843932,-0.2154047528,0.0017330464,0.3824457846
0.4800010000,-0.9050000000,-0.0027211084,-0.1942667986,0.0018918651,0.3453864396
0.4840010000,-0.8850000000,-0.0029431638,-0.1775520830,0.0020401073,0.3160721913
0.4880010000,-0.8650000000,-0.0032015295,-0.1610409643,0.0022117485,0.2871041029
0.4910010000,-0.8500000000,-0.0034243664,-0.1488115753,0.002359111,0.2656393610
0.4930010000,-0.8400000000,-0.0035893016,-0.1407414347,0.0024678074,0.2514698587
0.4950010000,-0.8300000000,-0.0037692483,-0.1327444233,0.0025860553,0.2374241687
0.4980010000,-0.8150000000,-0.0040715898,-0.1209010583,0.0027839915,0.2166129130
0.5010010000,-0.8000000000,-0.0044198588,-0.1092643795,0.0030109642,0.1961506280
0.5040010000,-0.7850000000,-0.00482367421,-9.786676069e-02,0.0032729579,0.1760912750
0.5070010000,-0.7700000000,-0.00529488019,-8.674768285e-02,0.003577388,0.1565005738
0.5090010000,-0.7600000000,-0.00565344585,-7.951318370e-02,0.0038083441,0.1437395089
0.5100010000,-0.7550000000,-0.00584784822,-7.595555595e-02,0.0039333757,0.1374590316
0.5120010000,-0.7450000000,-0.00627017701,-6.897131883e-02,0.0042047084,0.1251177659
0.5130010000,-0.7400000000,-0.00649948768,-6.554993180e-02,0.0043519441,0.1190656651
0.5150010000,-0.7300000000,-0.00699794768,-5.886308839e-02,0.0046720386,0.1072226198
0.5170010000,-0.7200000000,-0.00755414586,-5.240582635e-02,0.0050297557,9.576394540e-02
0.5180010000,-0.7150000000,-0.00785547704,-4.927223104e-02,0.00522402011,9.019370575e-02
0.5190010000,-0.7100000000,-0.0081729794,-4.620720979e-02,0.00542921331,8.473828776e-02
0.5200010000,-0.7050000000,-0.00850700054,-4.321495400e-02,0.00564577806,7.940475440e-02
0.5210010000,-0.7000000000,-0.00885769961,-4.029986838e-02,0.00587408807,7.420055838e-02
0.5220010000,-0.6950000000,-0.00922499141,-3.746655368e-02,0.00611441804,6.913352341e-02
0.5230010000,-0.6900000000,-0.00960848369,-3.471977919e-02,0.00636690766,6.421181025e-02
0.5240010000,-0.6850000000,-0.01000741025,-3.206444264e-02,0.00663151934,5.944386378e-02
0.5250010000,-0.6800000000,-0.01042056311,-2.950551510e-02,0.00690799025,5.483833692e-02
0.5260010000,-0.6750000000,-0.01084622948,-2.704796851e-02,0.00719578031,5.040398695e-02
0.5270010000,-0.6700000000,-0.01128214051,-2.469668410e-02,0.00749401836,4.614954046e-02
0.5280010000,-0.6650000000,-0.0117254407,-2.245634056e-02,0.00780145087,4.208352368e-02
0.5290010000,-0.6600000000,-0.0121726876,-2.033128249e-02,0.00811639861,3.821405700e-02
0.5300010000,-0.6550000000,-0.01261989052,-1.832537157e-02,0.0084367286,3.454861508e-02
0.5310010000,-0.6500000000,-0.01306259537,-1.644182540e-02,0.00875984913,3.109375783e-02
