time,pulldown_on,pulldown_off,pullup_on,pullup_off
0.,3.46500000,1.94015280,0.,1.48287046
2.00000000e-10,3.46513139,1.94342112,7.8576714e-05,1.48190955
2.50000000e-10,3.46507575,1.94264522,3.3075562e-04,1.48150638
3.00000000e-10,3.46494717,1.93935608,7.8554627e-04,1.48124804
3.25000000e-10,3.46485486,1.93627179,9.8709029e-04,1.48124194
3.75000000e-10,3.46462678,1.92732238,1.2882343e-03,1.48161573
5.25000000e-10,3.46356355,1.88828240,1.3939904e-03,1.48730382
5.50000000e-10,3.46334209,1.88221708,9.5546946e-04,1.48919728
5.75000000e-10,3.46315260,1.87796088,2.4297231e-04,1.49142527
6.00000000e-10,3.46304722,1.87677198,-7.1011713e-04,1.49397841
6.25000000e-10,3.46298953,1.87992531,-1.8683005e-03,1.49671853
6.50000000e-10,3.46303922,1.88863552,-3.2029152e-03,1.49962670
6.75000000e-10,3.46329060,1.90403337,-4.6932896e-03,1.50260637
7.00000000e-10,3.46378783,1.92717310,-6.3270081e-03,1.50541764
7.25000000e-10,3.46455244,1.95907214,-8.1056639e-03,1.50774675
7.50000000e-10,3.46559642,2.00085385,-1.0023234e-02,1.50923805
7.75000000e-10,3.46692098,2.05399606,-1.2116349e-02,1.50949972
8.00000000e-10,3.46851451,2.12086557,-1.4462551e-02,1.50811250
8.25000000e-10,3.47036855,2.20188065,-1.7160370e-02,1.50464511
8.50000000e-10,3.47248263,2.29541730,-2.0090085e-02,1.49864084
8.75000000e-10,3.47487830,2.39984046,-2.3221541e-02,1.48960008
9.00000000e-10,3.47760759,2.51302797,-2.6645356e-02,1.47693165
9.25000000e-10,3.48075261,2.63225606,-3.0469211e-02,1.45998545
9.75000000e-10,3.48757031,2.87435554,-4.0260533e-02,1.40882189
1.00000000e-09,3.49095275,2.98685838,-4.6483502e-02,1.37405605
1.02500000e-09,3.49422093,3.08455369,-5.3776015e-02,1.33273202
1.05000000e-09,3.49732374,3.16142557,-6.3107603e-02,1.28436802
1.07500000e-09,3.50022747,3.22034313,-5.8785685e-02,1.22910088
1.10000000e-09,3.50291779,3.26717303,-4.9074948e-02,1.16959358
1.12500000e-09,3.50539723,3.30489879,-4.0236584e-02,1.10694357
1.15000000e-09,3.50767221,3.33534993,-3.2510025e-02,1.04192104
1.17500000e-09,3.50970154,3.35986483,-2.6087387e-02,0.97527994
1.20000000e-09,3.51151683,3.37950996,-2.1006983e-02,0.90783893
1.22500000e-09,3.51318132,3.39525510,-1.7155667e-02,0.84033736
1.25000000e-09,3.51474471,3.40785459,-1.4441260e-02,0.77339372
1.27500000e-09,3.51625373,3.41793188,-1.2756247e-02,0.70754540
1.37500000e-09,3.52170595,3.44097099,-1.0554058e-02,0.46310975
1.42500000e-09,3.52426290,3.44583543,-1.0807209e-02,0.35812474
1.45000000e-09,3.52559604,3.44740495,-1.1071184e-02,0.31147183
1.50000000e-09,3.52808385,3.44940051,-1.1735550e-02,0.22982761
1.55000000e-09,3.53055082,3.45036287,-1.2470292e-02,0.16415114
1.60000000e-09,3.53348137,3.45069295,-1.3189035e-02,0.11419995
1.62500000e-09,3.53114843,3.45070185,-1.3523815e-02,9.4832716e-02
1.67500000e-09,3.52097808,3.45052825,-1.4109292e-02,6.5929872e-02
1.72500000e-09,3.51225413,3.45019922,-1.4498589e-02,4.9670318e-02
1.77500000e-09,3.50489800,3.44979475,-1.4250256e-02,3.9461260e-02
1.82500000e-09,3.49865208,3.44936364,-1.3460575e-02,3.1933338e-02
1.87500000e-09,3.49336561,3.44893437,-1.2285172e-02,2.6179124e-02
1.92500000e-09,3.48891963,3.44852202,-9.2144889e-03,2.1703764e-02
2.10000000e-09,3.47732536,3.44709919,2.1053208e-02,1.2454984e-02
2.12500000e-09,3.47514776,3.44624284,2.7898404e-02,1.1972288e-02
2.15000000e-09,3.47231798,3.44497582,3.5343626e-02,1.2215430e-02
2.20000000e-09,3.46428861,3.44290301,5.1972550e-02,1.2739422e-02
2.25000000e-09,3.45274361,3.44173751,7.0810850e-02,1.2404968e-02
2.30000000e-09,3.43754818,3.44126289,9.1725109e-02,1.1664284e-02
2.35000000e-09,3.41876103,3.44125090,0.11459956,1.0829153e-02
2.40000000e-09,3.39654923,3.44153210,0.13928482,1.0032824e-02
2.42500000e-09,3.38423193,3.44174573,0.15226341,9.6661379e-03
2.47500000e-09,3.35735589,3.44226134,0.17942150,9.0029266e-03
2.52500000e-09,3.32770023,3.44284105,0.20809174,8.4225242e-03
2.60000000e-09,3.27884522,3.44374150,0.25371685,7.6795063e-03
2.67500000e-09,3.22574443,3.44461425,0.30222069,7.0562072e-03
2.87500000e-09,3.07136940,3.44665438,0.44295681,5.7674404e-03
2.95000000e-09,3.01129794,3.44738733,0.49852586,5.3741279e-03
3.02500000e-09,2.95122045,3.44813993,0.55474239,5.0138656e-03
3.10000000e-09,2.89174499,3.44891224,0.61106019,4.6807339e-03
3.15000000e-09,2.85268518,3.44943635,0.64840671,4.4716184e-03
3.20000000e-09,2.81425677,3.44996618,0.68542808,4.2717802e-03
3.27500000e-09,2.75803536,3.45076814,0.74006573,3.9878467e-03
3.35000000e-09,2.70370648,3.45157369,0.79328013,3.7212302e-03
3.40000000e-09,2.66866471,3.45210989,0.82779442,3.5523758e-03
3.45000000e-09,2.63463325,3.45264343,0.86143367,3.3902232e-03
3.50000000e-09,2.60165428,3.45317267,0.89411113,3.2344785e-03
3.55000000e-09,2.56975830,3.45369602,0.92579209,3.0848859e-03
3.60000000e-09,2.53896603,3.45421196,0.95644010,2.9412186e-03
3.67500000e-09,2.49487160,3.45496893,1.00036051,2.7363859e-03
3.72500000e-09,2.46687574,3.45546041,1.02822691,2.6066746e-03
3.77500000e-09,2.43999553,3.45594003,1.05494312,2.4822391e-03
3.82500000e-09,2.41422087,3.45640680,1.08050353,2.3629181e-03
3.90000000e-09,2.37759859,3.45708100,1.11668338,2.1931882e-03
3.97500000e-09,2.34336438,3.45772206,1.15008337,2.0341118e-03
4.05000000e-09,2.31143738,3.45832832,1.18030663,1.8851975e-03
4.12500000e-09,2.28172528,3.45889877,1.20767831,1.7459639e-03
4.20000000e-09,2.25413102,3.45943298,1.23251948,1.6159372e-03
4.27500000e-09,2.22878490,3.45993105,1.25510526,1.4946508e-03
4.35000000e-09,2.20577360,3.46039352,1.27566885,1.3816454e-03
4.50000000e-09,2.16587624,3.46121563,1.31149875,1.1786836e-03
4.60000000e-09,2.14308132,3.46169188,1.33197548,1.0590544e-03
4.70000000e-09,2.12281124,3.46211513,1.35009721,9.5081498e-04
4.92500000e-09,2.08475470,3.46289548,1.38361246,7.4413990e-04
5.17500000e-09,2.05206312,3.46353143,1.41146662,5.6484812e-04
5.50000000e-09,2.02059509,3.46408946,1.43659303,3.9316436e-04
5.85000000e-09,1.99664939,3.46446039,1.45374876,2.6519797e-04
6.22500000e-09,1.97889878,3.46469371,1.46508710,1.7344412e-04
6.65000000e-09,1.96544859,3.46483945,1.47267950,1.0695461e-04
7.12500000e-09,1.95587151,3.46492221,1.47739217,6.2200769e-05
8.05000000e-09,1.94638351,3.46498109,1.48123137,2.1589172e-05
9.30000000e-09,1.94193883,3.46499721,1.48254907,5.1563161e-06
1.10750000e-08,1.94045588,3.46499981,1.48283866,6.7527643e-07
1.50000000e-08,1.94015880,3.46500000,1.48287027,0.
