time,pulldown_on,pulldown_off,pullup_on,pullup_off
0.,3.13499994,2.20965480,0.,0.86066854
3.00000000e-10,3.13509792,2.21217073,5.4864768e-05,0.85989019
3.75000000e-10,3.13505859,2.21142691,2.4293966e-04,0.85961760
4.50000000e-10,3.13497200,2.20892785,5.6305492e-04,0.85946947
5.00000000e-10,3.13488878,2.20583329,7.5501252e-04,0.85951164
5.50000000e-10,3.13478892,2.20167552,9.0293968e-04,0.85971297
6.25000000e-10,3.13461415,2.19392373,1.0567414e-03,0.86038248
8.00000000e-10,3.13407065,2.17311505,1.0393743e-03,0.86409266
8.50000000e-10,3.13385430,2.16841669,5.9712085e-04,0.86585189
8.75000000e-10,3.13375304,2.16700793,2.6146724e-04,0.86689045
9.00000000e-10,3.13366647,2.16652400,-1.4389251e-04,0.86803372
9.25000000e-10,3.13361445,2.16718919,-6.1310728e-04,0.86927845
9.50000000e-10,3.13356930,2.16922208,-1.1410122e-03,0.87057314
9.75000000e-10,3.13353609,2.17283427,-1.7227879e-03,0.87192049
1.00000000e-09,3.13354101,2.17823070,-2.3544488e-03,0.87332180
1.02500000e-09,3.13359649,2.18561217,-3.0325624e-03,0.87474694
1.05000000e-09,3.13371165,2.19517936,-3.7540660e-03,0.87615264
1.07500000e-09,3.13389331,2.20713951,-4.5165724e-03,0.87748587
1.10000000e-09,3.13414644,2.22171855,-5.3190279e-03,0.87868602
1.12500000e-09,3.13447459,2.23917476,-6.1640311e-03,0.87968669
1.15000000e-09,3.13488022,2.25963871,-7.0467803e-03,0.88041712
1.17500000e-09,3.13536649,2.28294873,-7.9659779e-03,0.88080410
1.20000000e-09,3.13593465,2.30905440,-8.9315018e-03,0.88076917
1.22500000e-09,3.13658272,2.33793118,-9.9518140e-03,0.88023041
1.25000000e-09,3.13730883,2.36955406,-1.1039951e-02,0.87910692
1.27500000e-09,3.13811157,2.40390375,-1.2219317e-02,0.87731865
1.30000000e-09,3.13899011,2.44097166,-1.3517564e-02,0.87478580
1.32500000e-09,3.13994455,2.48066034,-1.4884678e-02,0.87142804
1.35000000e-09,3.14097723,2.52270490,-1.6281213e-02,0.86716397
1.37500000e-09,3.14209353,2.56677174,-1.7733678e-02,0.86190800
1.40000000e-09,3.14329684,2.61247381,-1.9258135e-02,0.85556364
1.42500000e-09,3.14458997,2.65936324,-2.0868273e-02,0.84802464
1.50000000e-09,3.14907799,2.80164007,-2.6374673e-02,0.81694706
1.52500000e-09,3.15065754,2.84736970,-2.8512857e-02,0.80318196
1.55000000e-09,3.15221081,2.89075569,-3.0781016e-02,0.78778584
1.57500000e-09,3.15373500,2.93066996,-3.2999079e-02,0.77101264
1.60000000e-09,3.15522104,2.96609308,-3.5310793e-02,0.75292789
1.62500000e-09,3.15665757,2.99618617,-3.7867503e-02,0.73361219
1.65000000e-09,3.15803115,3.02028372,-4.0665963e-02,0.71315807
1.67500000e-09,3.15933720,3.03947105,-4.1166681e-02,0.69168198
1.70000000e-09,3.16057283,3.05519531,-3.5332916e-02,0.66930823
1.72500000e-09,3.16173640,3.06825902,-2.9673625e-02,0.64616565
1.75000000e-09,3.16282792,3.07916263,-2.4959668e-02,0.62237353
1.77500000e-09,3.16384863,3.08827411,-2.0950086e-02,0.59804753
1.80000000e-09,3.16479866,3.09587967,-1.7526752e-02,0.57330757
1.82500000e-09,3.16566930,3.10221319,-1.4630390e-02,0.54827654
1.85000000e-09,3.16644847,3.10747143,-1.2216817e-02,0.52310151
1.90000000e-09,3.16779519,3.11540934,-8.6527589e-03,0.47283890
1.97500000e-09,3.16949252,3.12275226,-5.6873068e-03,0.39912891
2.20000000e-09,3.17300256,3.12924986,-5.0454749e-03,0.20598780
2.27500000e-09,3.17352946,3.12924330,-5.5628047e-03,0.15560536
2.55000000e-09,3.17387081,3.12789199,-7.3176999e-03,4.3299762e-02
2.60000000e-09,3.17263863,3.12761035,-7.5553244e-03,3.3474905e-02
2.67500000e-09,3.16555767,3.12720736,-7.8262471e-03,2.3301711e-02
2.72500000e-09,3.16157703,3.12695458,-7.9079180e-03,1.9309759e-02
2.77500000e-09,3.15832048,3.12671553,-7.7897859e-03,1.7232071e-02
2.85000000e-09,3.15438425,3.12638292,-7.2814325e-03,1.4825084e-02
3.00000000e-09,3.14872425,3.12580395,-5.6668951e-03,1.1051631e-02
3.25000000e-09,3.14281994,3.12454752,7.4087462e-03,7.0553698e-03
3.40000000e-09,3.13817019,3.12144697,2.1929128e-02,7.3789579e-03
3.47500000e-09,3.13366338,3.12076725,3.0964803e-02,7.6018661e-03
3.52500000e-09,3.12968155,3.12053847,3.7615568e-02,7.4689497e-03
3.60000000e-09,3.12221973,3.12040663,4.8497165e-02,7.1171805e-03
3.65000000e-09,3.11626639,3.12041158,5.6335755e-02,6.8527950e-03
3.75000000e-09,3.10210535,3.12055308,7.3341362e-02,6.3440932e-03
3.85000000e-09,3.08512044,3.12079392,9.2009685e-02,5.9036014e-03
3.95000000e-09,3.06556733,3.12107566,0.11224361,5.5335583e-03
4.05000000e-09,3.04375615,3.12136967,0.13392778,5.2137057e-03
4.15000000e-09,3.01998586,3.12166215,0.15695949,4.9311032e-03
4.25000000e-09,2.99458925,3.12194650,0.18125502,4.6773322e-03
4.37500000e-09,2.96105564,3.12229055,0.21318949,4.3909728e-03
4.80000000e-09,2.83919698,3.12370917,0.32957523,3.5770283e-03
4.95000000e-09,2.79567469,3.12430585,0.37141371,3.3277997e-03
5.07500000e-09,2.75996316,3.12482823,0.40580380,3.1311453e-03
5.22500000e-09,2.71819279,3.12547513,0.44602531,2.9070541e-03
5.37500000e-09,2.67796197,3.12613337,0.48467113,2.6950574e-03
5.52500000e-09,2.63955969,3.12679260,0.52137738,2.4945894e-03
5.67500000e-09,2.60319907,3.12744348,0.55587893,2.3052957e-03
5.85000000e-09,2.56346799,3.12818157,0.59311867,2.0982387e-03
6.02500000e-09,2.52674914,3.12888681,0.62699239,1.9056893e-03
6.20000000e-09,2.49305909,3.12955126,0.65749291,1.7272694e-03
6.40000000e-09,2.45817923,3.13025382,0.68833963,1.5400954e-03
6.60000000e-09,2.42699331,3.13089154,0.71514874,1.3700265e-03
6.82500000e-09,2.39603480,3.13153000,0.74092469,1.1980312e-03
7.05000000e-09,2.36908016,3.13208683,0.76250780,1.0451452e-03
7.27500000e-09,2.34573140,3.13256683,0.78021364,9.0986492e-04
7.52500000e-09,2.32353611,3.13301808,0.79613139,7.7832605e-04
7.77500000e-09,2.30478545,3.13339277,0.80888832,6.6451885e-04
8.02500000e-09,2.28900628,3.13370135,0.81912281,5.6642150e-04
8.30000000e-09,2.27470768,3.13397629,0.82806337,4.7439701e-04
8.60000000e-09,2.26214982,3.13421281,0.83564149,3.9035297e-04
8.92500000e-09,2.25134818,3.13440952,0.84188086,3.1554361e-04
9.27500000e-09,2.24224034,3.13456786,0.84687534,2.5058021e-04
9.67500000e-09,2.23427656,3.13469825,0.85098157,1.9228100e-04
1.01000000e-08,2.22795770,3.13479437,0.85401533,1.4494905e-04
1.05500000e-08,2.22303751,3.13486319,0.85619960,1.0736220e-04
1.10500000e-08,2.21911264,3.13491311,0.85779700,7.6851350e-05
1.16250000e-08,2.21600400,3.13494848,0.85894206,5.2286757e-05
1.30000000e-08,2.21210701,3.13498524,0.86015724,2.0804084e-05
1.50000000e-08,2.21027046,3.13499757,0.86058147,5.4852604e-06
